entry_date,entry_px,exit_date,exit_px,return,hold_days,type
2020-03-09,9.8860,2020-03-10,10.8746,0.1000,1,tp
2020-03-11,9.7760,2020-06-02,10.7536,0.1000,57,tp
2020-06-11,10.5160,2020-06-12,11.5676,0.1000,1,tp
2020-09-03,16.9987,2020-10-06,18.6985,0.1000,22,tp
2021-01-27,33.1440,2021-01-28,36.4584,0.1000,1,tp
2021-02-25,36.2187,2021-03-01,39.8405,0.1000,2,tp
2021-03-08,27.5200,2021-03-09,30.2720,0.1000,1,tp
2022-05-09,19.7200,2022-05-10,21.6920,0.1000,1,tp
2022-05-18,20.8500,2022-05-27,22.9350,0.1000,7,tp
2022-06-13,15.5500,2022-06-15,17.1050,0.1000,2,tp
2022-06-16,13.5700,2022-06-21,14.9270,0.1000,2,tp
2022-08-26,15.9800,2023-02-02,17.5780,0.1000,109,tp
2024-07-17,51.5500,2026-01-13,56.7050,0.1000,374,tp
